lemma,abs_frequency,ipm
короткий,10299,143
замок,10288,143
например,10277,143
высоко,10249,142
алеша,10239,142
очередь,10226,142
обертываться,10221,142
дорогой,10214,142
ум,10194,142
волна,10147,141
отпускать,10144,141
начальник,10135,141
тень,10127,141
прежде,10113,140
надевать,10103,140
озеро,10100,140
милиция,10083,140
обещать,10077,140
кровь,10075,140
вполне,10065,140
следить,10065,140
смерть,10059,140
ага,10018,139
луна,10001,139
повертывать,10001,139
этаж,9983,139
отзываться,9981,139
зайти,9980,139
держаться,9977,139
приказывать,9972,139
виноватый,9967,138
чистый,9960,138
иначе,9959,138
удар,9946,138
кстати,9941,138
картина,9941,138
часы,9920,138
отходить,9881,137
вслед,9875,137
прошептать,9849,137
золотой,9835,137
доходить,9823,136
занимать,9822,136
выскочить,9817,136
выбирать,9812,136
тишина,9810,136
игра,9774,136
направляться,9768,136
сей,9745,135
сашка,9735,135
песня,9732,135
круглый,9720,135
ожидать,9708,135
голубой,9707,135
посылать,9693,135
подавать,9676,134
васька,9660,134
пара,9631,134
отсюда,9630,134
понравиться,9624,134
выход,9614,134
наступать,9607,133
хвост,9603,133
гореть,9590,133
шум,9589,133
видимо,9585,133
обижаться,9575,133
ударять,9574,133
труба,9558,133
магазин,9535,132
соображать,9523,132
понятно,9511,132
крик,9498,132
вовка,9493,132
поезд,9484,132
забор,9465,131
теплый,9445,131
послышаться,9436,131
скрываться,9400,131
ивановна,9394,130
являться,9391,130
тяжело,9383,130
любовь,9375,130
толпа,9372,130
аня,9367,130
доктор,9363,130
убегать,9350,130
лагерь,9342,130
семья,9331,130
егор,9304,129
метр,9298,129
подруга,9293,129
рыжий,9289,129
разбираться,9278,129
оглянуться,9276,129
ленька,9273,129
встреча,9270,129
всего,9265,129
алексей,9252,129
вскоре,9234,128
падать,9217,128
верно,9216,128
петр,9213,128
бегать,9182,128
право,9178,127
привыкать,9175,127
конь,9172,127
песок,9152,127
позвать,9150,127
поймать,9140,127
должно,9140,127
колька,9135,127
мешать,9127,127
признаваться,9083,126
мешок,9077,126
ольга,9058,126
задумываться,9058,126
взяться,9029,125
нести,9021,125
юра,9005,125
переходить,8996,125
тема,8989,125
очки,8956,124
звонок,8953,124
ужас,8947,124
отказываться,8935,124
обед,8935,124
покачать,8915,124
расти,8911,124
заговаривать,8910,124
черт,8906,124
обычно,8904,124
обычный,8890,123
виктор,8882,123
зря,8878,123
приближаться,8863,123
двигаться,8841,123
анна,8839,123
поглядеть,8838,123
станция,8835,123
бой,8819,122
дно,8804,122
родной,8799,122
кот,8785,122
выдерживать,8784,122
артем,8780,122
позволять,8775,122
мелкий,8766,122
дурак,8765,122
волноваться,8765,122
оттуда,8761,122
останавливать,8761,122
вдоль,8737,121
заканчивать,8726,121
группа,8700,121
команда,8675,120
сосед,8654,120
двое,8653,120
недавно,8644,120
фамилия,8633,120
кресло,8631,120
тихий,8615,120
серьезный,8600,119
рассказ,8593,119
кусок,8584,119
юрка,8581,119
предупреждать,8562,119
дух,8561,119
вспоминать,8552,119
деревянный,8551,119
жалко,8549,119
левый,8535,119
отдыхать,8521,118
ветка,8520,118
вагон,8502,118
военный,8499,118
врач,8493,118
смех,8490,118
указывать,8488,118
вновь,8485,118
пахнуть,8458,117
густой,8452,117
близкий,8440,117
советский,8378,116
учительница,8368,116
замирать,8362,116
тайна,8356,116
подхватывать,8344,116
крупный,8343,116
мужик,8343,116
выглядеть,8342,116
мокрый,8340,116
называться,8338,116
половина,8330,116
цвет,8325,116
зверь,8323,116
речь,8316,116
школьный,8301,115
запах,8288,115
федор,8280,115
торчать,8271,115
молодец,8259,115
